id,Date_earliest,Nationality_Summed_Points,Nationality_count,Summed_Points,artist_count,Points (Total),song_count,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence
54ipXppHLA8U4yqpOFTUhr,2022-07-01,169383.5,1,2702.0,1,26421,181,Imagine Dragons,2023-05-29,0.772,0.75,-3.67,0.046,0.02,0.0,0.587
7KokYm8cMIXCsGVmUvKtqf,2022-10-21,174561.5,1,9859.0,1,7661,57,Taylor Swift,2023-05-29,0.642,0.62,-7091.0,0.067,0.073,0.0,0.097
65FftemJ1DbbZ45DUfHJXE,2023-01-02,15065.0,1,0.0,1,24309,148,NewJeans,2023-05-29,0.804,0.771,-4067.0,0.043,0.357,0.0,0.739
5Odq8ohlgIbQKMZivbWkEo,2022-10-07,201402.5,3,19356.0,3,49401,516,"Charlie Puth, Jung Kook, BTS",2023-05-29,0.881,0.592,-4898.0,0.032,0.619,0.0,0.719
69CrOS7vEHIrhC2ILyEi0s,2023-03-31,15771.0,1,0.0,1,9848,60,JISOO,2023-05-29,0.841,0.384,-7684.0,0.035,0.024,0.0,0.597
567e29TDzLwZwfDuEpGTwo,2023-01-20,26442.0,2,7076.0,2,36438,260,"The Kid LAROI, Justin Bieber",2023-05-29,0.591,0.764,-5484.0,0.048,0.038,0.0,0.478
3kf0WdFOalKWBkCCLJo4mA,2023-02-12,190383.5,1,0.0,1,15132,107,Chino Pacas,2023-05-29,0.736,0.8,-5.38,0.053,0.179,0.0,0.961
5RcxRGvmYai7kpFSfxe5GY,2023-04-07,197568.5,2,16.0,2,13864,106,"Becky G, Peso Pluma",2023-05-29,0.852,0.675,-5738.0,0.036,0.397,0.003,0.528
50x1Ic8CaXkYNvjmxe3WXy,2023-01-06,20380.5,1,74.0,1,13511,144,New West,2023-05-29,0.593,0.352,-8296.0,0.028,0.695,0.0,0.226
5mHdCZtVyb4DcJw8799hZp,2023-02-03,227393.0,2,252.0,2,37884,232,"RAYE, 070 Shake",2023-05-29,0.538,0.742,-5355.0,0.114,0.138,0.0,0.25
505v13epFXodT9fVAJ6h8k,2023-05-19,6903.066666667,1,836.0,1,1005,11,KAROL G,2023-05-29,0.92,0.696,-3356.0,0.074,0.183,0.0,0.545
6n2P81rPk2RTzwnNNgFOdb,2023-05-26,2771.666666666,1,128.33333333299998,1,368,4,Peso Pluma,2023-05-29,0.782,0.812,-6613.0,0.047,0.567,0.0,0.7
6TBzRwnX2oYd8aOrOuyK1p,2023-01-13,3985.0,2,28.0,2,35672,260,"Oscar Maydon, Junior H",2023-05-29,0.699,0.541,-4943.0,0.083,0.063,0.0,0.365
