id,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
2g1KggY9PKvsoEAOaiz4xx,0.834,0.663,-6143.0,0.133,0.235,0.0,0.774,20,12746.0,120.0
6T6D9CIrHkALcHPafDFA6L,0.643,0.671,-7.45,0.084,0.241,0.018,0.297,21,2528.0,30.0
1hJIbOjWpid6LtnozHmzRS,0.637,0.666,-6773.0,0.049,0.161,0.0,0.529,78,12167.0,175.0
25j0Sape7qZbq6ZPLFefTT,0.956,0.502,-5995.0,0.213,0.059,0.0,0.795,1,89.0,10.0
4Ws314Ylb27BVsvlZOy30C,0.654,0.707,-5661.0,0.066,0.006,0.0,0.448,101,22902.0,137.0
6bvfJf4KjonPMuPfGfy3S2,0.814,0.714,-4.65,0.207,0.297,0.0,0.789,183,68448.0,1425.0
78xj07VVFK5uHTaGPIu13S,0.956,0.502,-5995.0,0.213,0.059,0.0,0.795,10,0.0,0.0
6u3CPnFMKANYgfdiifFOiJ,0.539,0.615,-8746.0,0.252,0.173,0.006,0.493,2,0.0,0.0
0HC6S4VpCGAZvyxTdrMRIQ,0.666,0.452,-7096.0,0.265,0.211,0.001,0.04,15,76.0,14.0
15bnyEOUVRkwWlxR4F7xzF,0.738,0.885,-4159.0,0.126,0.213,0.0,0.49,1,36.0,1.0
4OoYfejHABzYe2mG8p5s8b,0.716,0.736,-5.18,0.036,0.336,0.0,0.542,1,3630.0,84.0
6lWncv0txvt3Qwf5jY3ogH,0.619,0.508,-8676.0,0.102,0.043,0.159,0.211,1,129.0,5.0
42lqBjPYlmL1EXpMDXvhSN,0.658,0.538,-7676.0,0.029,0.657,0.0,0.62,22,2454.0,39.0
4RewTiGEGoO7FWNZUmp1f4,0.73,0.784,-2.62,0.069,0.191,0.0,0.673,1,0.0,0.0
57VeLYXrvNxe8Vs18K2M9W,0.945,0.582,-8357.0,0.072,0.114,0.0,0.907,44,28046.0,332.0
3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,-7088.0,0.046,0.008,0.0,0.452,185,11318.0,230.0
7oHsIIDKbEJlFULg1HF0pP,0.762,0.61,-6378.0,0.228,0.076,0.0,0.277,6,60412.0,1154.0
0sY6ZUTh4yoctD8VIXz339,0.462,0.24,-12077.0,0.038,0.92,0.0,0.32,43,55709.0,499.0
1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,-8932.0,0.145,0.316,0.0,0.581,185,10419.0,254.0
7AFASza1mXqntmGtbxXprO,0.669,0.308,-10068.0,0.029,0.883,0.0,0.52,176,49416.0,544.0
22Sh5dlwbERqJAq1fZk5b2,0.811,0.683,-2028.0,0.241,0.46,0.0,0.571,55,113775.0,1880.0
0XinBYhf1X3kdvKQHOX971,0.812,0.747,-4611.0,0.15,0.31,0.004,0.488,78,0.0,0.0
7qmnP8Woc47dLSrMD5MxL1,0.934,0.707,-4214.0,0.065,0.437,0.0,0.961,16,0.0,0.0
5Jm4w8jmPEBTLjI9vH4fXo,0.735,0.791,-4462.0,0.068,0.053,0.0,0.697,133,23266.0,402.0
0YqTL3nSL36OFdHwHoqCag,0.655,0.726,-7628.0,0.08,0.334,0.0,0.766,29,6503.0,111.0
2sqgNScWya6T8PwKMELYW8,0.769,0.455,-5698.0,0.155,0.554,0.0,0.293,1,60412.0,1154.0
6jawrhd9Ad5td8mIvEZkjm,0.727,0.661,-5925.0,0.299,0.102,0.0,0.319,1,129.0,1.0
6qNLO4HzHeVvHxTaCFMXrf,0.769,0.605,-7874.0,0.335,0.197,0.0,0.3,1,2257.0,38.0
0jagsVVkxwxhmTIicnOaon,0.351,0.248,-14653.0,0.08,0.718,0.002,0.032,1,80467.0,839.0
5YSHygGN9D0mID1NsVd5my,0.613,0.631,-6965.0,0.12,0.066,0.0,0.33,43,197884.0,1966.0
7CFfqRW50ffULvBv7lfIIg,0.797,0.755,-5393.0,0.029,0.331,0.0,0.411,1,0.0,0.0
1PZDyestTVydtHpaIcfUJg,0.334,0.276,-13125.0,0.064,0.877,0.0,0.429,9,176.0,2.0
4I5bvu2KDsrCg0EWHIcvul,0.695,0.784,-6564.0,0.04,0.089,0.0,0.52,6,0.0,0.0
3qgPpwtuRu5oP8EtFSj8HE,0.719,0.598,-6254.0,0.077,0.232,0.0,0.303,73,10770.0,126.0
4JUPEh2DVSXFGExu4Uxevz,0.79,0.701,-4.81,0.365,0.032,0.0,0.91,92,22902.0,137.0
1H7KnK26kc1YyellpbINEn,0.49,0.618,-5655.0,0.104,0.022,0.0,0.286,165,5069.0,126.0
15k1TDabqSEmyXOwMq9RM7,0.632,0.953,-1283.0,0.033,0.317,0.0,0.798,57,0.0,0.0
5zj8WNkBrEzlI5FKeYV4ol,0.665,0.697,-4819.0,0.154,0.427,0.0,0.556,73,105912.0,1685.0
5CBnWXD8M7e8Q6WubFLtXy,0.696,0.409,-7135.0,0.235,0.354,0.0,0.096,1,2528.0,30.0
1hGHHKR7KFF2Wl78LBgKBz,0.542,0.291,-14415.0,0.105,0.94,0.0,0.043,1,2528.0,30.0
5euRP53moGQyGCsq8aNjvo,0.619,0.375,-10.06,0.089,0.59,0.0,0.574,1,2528.0,30.0
1jOBlsvKhdqjZAlUAia4Qz,0.617,0.835,-3573.0,0.092,0.005,0.0,0.835,1,0.0,0.0
26UxwWl9xCb83OynXELJcL,0.781,0.726,-4213.0,0.084,0.03,0.0,0.436,1,49969.0,301.0
6f8cT6qJ1KqqVXjx0xRJBt,0.475,0.343,-9407.0,0.04,0.096,0.0,0.054,1,2528.0,30.0
6ZHRi0QxzSnlevyhyNkj4a,0.532,0.584,-6659.0,0.044,0.002,0.003,0.165,1,2528.0,30.0
44ngiCPfS8FfdJOqN0eULl,0.644,0.48,-8347.0,0.033,0.244,0.017,0.449,1,2528.0,30.0
6bL1Rqcx1RXG6VsMmrYN8F,0.694,0.584,-9406.0,0.149,0.312,0.006,0.343,1,2528.0,30.0
57RA3JGafJm5zRtKJiKPIm,0.682,0.683,-6444.0,0.029,0.156,0.0,0.64,153,0.0,0.0
