Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Points (Total),id,Date_earliest,song_count,Points (Total)_grouped,date_difference,total_points,average_point,artist_count
2023-05-29,0.865,0.573,-5501.0,0.068,0.086,0.0,0.563,110,2CeKVsFFXG4QzA415QygGb,2022-09-14,258,38760,257 days,169315.833333331,24187.976190475856,1
2023-05-29,0.568,0.646,-6793.0,0.033,0.046,0.0,0.211,109,1FEiijYPJtyswChfcpv3p0,2022-07-24,289,17632,309 days,49723.0,7103.285714285715,1
2023-05-29,0.793,0.52,-7457.0,0.07,0.246,0.0,0.309,108,3p7XQpdt8Dr6oMXSvRZ9bg,2023-05-05,25,3333,24 days,1208748.0,172678.2857142857,1
2023-05-29,0.599,0.448,-6312.0,0.023,0.163,0.0,0.168,107,0tgVpDi06FyKpA1z0VMD4v,2017-03-03,2251,200148,2278 days,1208748.0,172678.2857142857,1
2023-05-29,0.571,0.544,-10613.0,0.03,0.453,0.008,0.216,106,1xK59OXxi2TAAAbmZK0kBL,2022-09-04,268,39955,267 days,74394.0,10627.714285714286,1
2023-05-29,0.733,0.69,-5529.0,0.043,0.064,0.0,0.31,105,5IgjP7X4th6nMNDh4akUHb,2022-07-23,311,50100,310 days,137748.00000002,19678.28571428857,1
2023-05-29,0.775,0.677,-4703.0,0.044,0.031,0.005,0.698,104,51FvjPEGKq2zByeeEQ43V9,2023-03-03,87,10581,87 days,399035.166666667,57005.02380952386,2
2023-05-29,0.823,0.388,-10867.0,0.491,0.019,0.0,0.507,103,7sliFe6W30tPBPh6dvZsIH,2023-05-10,20,1809,19 days,1809.0,258.42857142857144,1
2023-05-29,0.672,0.52,-7747.0,0.035,0.859,0.0,0.37,102,5O2P9iiztwhomNh8xkR9lJ,2020-07-23,359,22049,1040 days,24255.0,3465.0,1
2023-05-29,0.755,0.522,-4368.0,0.058,0.533,0.0,0.925,101,0RiRZpuVRbi7oqRdSMwhQY,2019-09-16,1298,130636,1351 days,1207449.0,172492.7142857143,2
2023-05-29,0.815,0.834,-2828.0,0.048,0.033,0.0,0.692,100,4uOBL4DDWWVx4RhYKlPbPC,2023-05-16,14,1164,13 days,4242.0,606.0,1
2023-05-29,0.571,0.549,-7.38,0.404,0.18,0.0,0.447,99,5wG3HvLhF6Y5KTGlK0IW3J,2022-12-02,90,9842,178 days,674420.666666693,96345.8095238133,3
2023-05-29,0.733,0.436,-10489.0,0.08,0.258,0.001,0.098,98,5jQI2r1RdgtuT8S3iG8zFC,2022-10-21,219,25132,220 days,632092.5,90298.92857142857,1
2023-05-29,0.69,0.521,-8492.0,0.339,0.324,0.0,0.494,97,68Dni7IE4VyPkTOH9mRWHr,2022-01-04,499,41790,510 days,164999.5,23571.35714285714,1
2023-05-29,0.491,0.643,-4309.0,0.044,0.187,0.0,0.779,96,6Um358vY92UBv5DloTRX9L,2022-12-27,154,20729,153 days,59863.0,8551.857142857143,2
2023-05-29,0.795,0.8,-6.32,0.031,0.035,0.0,0.934,95,6JIC3hbC28JZKZ8AlAqX8h,2022-04-19,406,56700,405 days,753520.99999996,107645.85714285144,3
2023-05-29,0.574,0.935,-2783.0,0.093,0.112,0.0,0.836,94,7ovUcF5uHTBRzUpB6ZOmvt,2023-04-16,44,3983,43 days,3983.0,569.0,1
2023-05-29,0.684,0.607,-8127.0,0.1,0.027,0.0,0.498,93,0JXXNGljqupsJaZsgSbMZV,2022-12-12,167,24307,168 days,48073.0,6867.571428571428,1
2023-05-29,0.52,0.852,-5866.0,0.054,0.002,0.0,0.234,92,58ge6dfP91o9oXMzq3XkIS,2021-02-01,521,59335,847 days,161103.0,23014.714285714286,1
2023-05-29,0.954,0.516,-5817.0,0.16,0.03,0.0,0.624,91,6UN73IYd0hZxLi8wFPMQij,2023-01-18,131,18721,131 days,20474.33333336,2924.904761908572,1
2023-05-29,0.784,0.7,-5289.0,0.04,0.011,0.0,0.204,90,6l8mgVN9Xf1hiDIFGA6CTE,2023-05-20,10,1209,9 days,377930.0,53990.0,2
2023-05-29,0.501,0.405,-5679.0,0.032,0.751,0.0,0.446,89,7qEHsqek33rTcFNT9PFqLf,2019-05-17,1464,203432,1473 days,361255.0,51607.857142857145,1
2023-05-29,0.74,0.697,-4912.0,0.034,0.027,0.0,0.732,88,6dgUya35uo964z7GZXM07g,2023-01-12,138,14625,137 days,27991.0,3998.714285714286,1
2023-05-29,0.351,0.296,-10109.0,0.033,0.934,0.0,0.12,87,0u2P5u6lvoDfwTYjAADbn4,2018-04-20,1698,198747,1865 days,1291316.0,184473.71428571423,2
2023-05-29,0.647,0.686,-5745.0,0.041,0.08,0.0,0.268,86,3k3NWokhRRkEPhCzPmV8TW,2022-05-06,389,62663,388 days,1294815.166666687,184973.59523809812,2
2023-05-29,0.817,0.44,-8482.0,0.073,0.06,0.0,0.544,85,7aRCf5cLOFN1U7kvtChY1G,2023-04-07,53,7723,52 days,863037.6666667011,123291.09523810016,1
2023-05-29,0.529,0.602,-4629.0,0.046,0.299,0.0,0.756,84,0IKeDy5bT9G0bA7ZixRT4A,2022-12-30,151,22242,150 days,71028.5,10146.928571428572,2
2023-05-29,0.838,0.708,-4668.0,0.166,0.176,0.0,0.96,83,7MVIfkyzuUmQ716j8U7yGR,2023-02-24,95,12665,94 days,15623.0,2231.8571428571427,2
2023-05-29,0.615,0.534,-6719.0,0.039,0.106,0.0,0.193,82,1R0a2iXumgCiFb7HEZ7gUE,2017-12-02,287,22144,2004 days,632092.5,90298.92857142857,1
2023-05-29,0.908,0.669,-2827.0,0.074,0.003,0.0,0.662,81,7lQ8MOhq6IN2w8EYcFNSUk,2017-11-11,607,56590,2025 days,371151.0,53021.57142857143,1
2023-05-29,0.484,0.731,-6694.0,0.038,0.431,0.0,0.51,80,7yq4Qj7cqayVTp3FF9CWbm,2018-07-15,841,37152,1779 days,37203.0,5314.714285714285,1
2023-05-29,0.686,0.494,-7093.0,0.036,0.613,0.0,0.7,79,4k6Uh1HXdhtusDW5y8Gbvy,2022-07-15,319,48773,318 days,105531.0,15075.857142857143,1
2023-05-29,0.556,0.552,-5875.0,0.037,0.531,0.0,0.531,78,5QW9K4A1gMnIi94YUxtsfM,2023-05-27,3,175,2 days,5256.999999985001,750.9999999978572,3
2023-05-29,0.743,0.831,-4042.0,0.058,0.114,0.0,0.609,77,0CYTGMBYkwUxrj1MWDLrC5,2022-12-17,160,19354,163 days,169315.833333331,24187.976190475856,1
2023-05-29,0.712,0.603,-5.52,0.026,0.186,0.0,0.67,76,1Lo0QY9cvc8sUB2vnIOxDT,2023-03-31,55,2667,59 days,6187.0,883.8571428571429,1
2023-05-29,0.565,0.636,-8198.0,0.064,0.107,0.0,0.525,75,76OGwb5RA9h4FxQPT33ekc,2022-08-08,295,42245,294 days,46253.0,6607.571428571428,1
2023-05-29,0.776,0.78,-4374.0,0.128,0.062,0.0,0.666,74,0pqnGHJpmpxLKifKRmU6WP,2018-07-26,1762,167351,1768 days,575616.5,82230.92857142857,1
2023-05-29,0.4,0.915,-4.89,0.28,0.085,0.0,0.878,73,2a1o6ZejUi8U3wzzOtCOYw,2017-12-31,30,1253,1975 days,7197.0,1028.1428571428569,2
2023-05-29,0.548,0.816,-4209.0,0.047,0.122,0.0,0.557,72,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,1260,175174,1263 days,589001.0,84143.0,1
2023-05-29,0.645,0.795,-12095.0,0.053,0.347,0.004,0.535,71,4RvWPyQ5RL0ao9LPZeSouE,2022-05-31,256,12431,363 days,12431.0,1775.857142857143,1
2023-05-29,0.706,0.505,-6923.0,0.193,0.142,0.0,0.388,70,37F0uwRSrdzkBiuj0D5UHI,2017-01-01,157,13689,2339 days,922058.83333333,131722.69047619,1
2023-05-29,0.453,0.655,-4.22,0.026,0.079,0.0,0.368,69,0ll8uFnc0nANY35E0Lfxvg,2022-11-01,55,2739,209 days,8184.0,1169.142857142857,1
2023-05-29,0.573,0.902,-7638.0,0.054,0.018,0.001,0.876,68,2WfaOiMkCvy7F5fcp2zZ8L,2018-08-18,91,3135,1745 days,3135.0,447.8571428571428,1
2023-05-29,0.601,0.741,-5569.0,0.048,0.185,0.0,0.441,67,6I3mqTwhRpn34SLVafSH7G,2021-03-20,614,80846,800 days,541378.666666677,77339.809523811,1
2023-05-29,0.633,0.927,-4468.0,0.084,0.027,0.0,0.88,66,22skzmqfdWrjJylampe0kt,2021-12-31,360,11690,514 days,57981.0,8283.0,4
2023-05-29,0.842,0.468,-8572.0,0.637,0.255,0.0,0.547,65,12YCtLHGk6tP6RbHDHflCs,2023-05-19,11,1042,10 days,1042.99999999,148.99999999857144,3
2023-05-29,0.369,0.467,-9018.0,0.027,0.019,0.46,0.174,64,3AVrVz5rK8Hrqo9YGiVGN5,2022-07-03,321,21373,330 days,21373.0,3053.285714285714,1
2023-05-29,0.65,0.715,-5198.0,0.253,0.099,0.0,0.187,63,1IHWl5LamUGEuP4ozKQSXZ,2022-05-06,389,63575,388 days,1262144.166666687,180306.30952381244,1
2023-05-29,0.709,0.56,-4867.0,0.171,0.034,0.0,0.541,62,0T2pB7P1VdXPhLdQZ488uH,2022-09-14,232,16881,257 days,169315.833333331,24187.976190475856,1
2023-05-29,0.643,0.363,-11738.0,0.077,0.69,0.0,0.23,61,3rWDp9tBPQR9z6U5YyRSK4,2022-10-22,152,14843,219 days,632092.5,90298.92857142857,1
2023-05-29,0.78,0.689,-5668.0,0.141,0.037,0.0,0.642,60,1xzi1Jcr7mEi9K2RfzLOqS,2022-07-29,278,35692,304 days,83874.0,11982.0,1
2023-05-29,0.691,0.708,-4821.0,0.195,0.338,0.0,0.602,59,4uqJelb9THHmJ3OCohg4ZJ,2023-02-20,98,9919,98 days,15124.0,2160.5714285714284,3
2023-05-29,0.664,0.705,-4972.0,0.038,0.065,0.0,0.477,58,2tpWsVSb9UEmDRxAl1zhX1,2018-07-15,776,34163,1779 days,176411.0,25201.571428571428,1
2023-05-29,0.561,0.52,-9342.0,0.244,0.05,0.0,0.424,57,1bDbXMyjaUIooNwFE9wn0N,2022-11-04,207,30441,206 days,1048203.8333333812,149743.40476191157,2
2023-05-29,0.501,0.809,-5264.0,0.094,0.034,0.006,0.258,56,456WNXWhDwYOSf5SpTuqxd,2023-05-08,22,1327,21 days,1866.0,266.57142857142856,1
2023-05-29,0.684,0.671,-4392.0,0.046,0.189,0.0,0.156,55,2Hh3ETdQKrmSI3QS0hme7g,2022-12-02,94,5437,178 days,320280.583333323,45754.369047617576,3
2023-05-29,0.785,0.617,-4202.0,0.234,0.109,0.0,0.58,54,13Z5Q40pa1Ly7aQk1oW8Ce,2023-05-19,10,326,10 days,312693.833333331,44670.54761904728,2
