id,nationality_points,nationality_songs_counted,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
7JNh1cfm0eXjqFVOzKLyau,27648.0,368.0,0.743,0.855,-3976.0,0.044,0.141,0.005,0.871,185,0.0,0.0
1vBeIXlzbAieGoDqInav5j,1436760.0,16363.0,0.947,0.788,-6138.0,0.124,0.107,0.001,0.454,9,50420.0,669.0
5eGX87IiKsGuzS3iw4CfCX,1465258.0,16739.0,0.641,0.444,-6482.0,0.024,0.412,0.001,0.588,1,33092.0,427.0
3ZYwSDF9knZI0RVlKR4PHC,1406496.0,15962.0,0.901,0.529,-7.94,0.413,0.068,0.0,0.343,14,8068.0,183.0
0TFVOjSvPTjFHkiZZekK5k,1406496.0,15962.0,0.964,0.555,-6245.0,0.05,0.03,0.001,0.338,11,235.0,12.0
0VgkVdmE4gld66l8iyGjgx,511447.0,5743.0,0.833,0.434,-8795.0,0.431,0.01,0.022,0.281,136,1258.0,31.0
75FDPwaULRdYDn4StFN2rT,824573.0,9229.0,0.909,0.546,-7513.0,0.175,0.001,0.001,0.099,105,28608.0,285.0
4lTiuD1DwBKo4L7wqMkD7C,1369523.0,15507.0,0.733,0.678,-7771.0,0.439,0.121,0.0,0.841,15,15107.0,131.0
0RoA7ObU6phWpqhlC9zH4Z,906155.0,10286.0,0.265,0.312,-11689.0,0.057,0.243,0.0,0.1,79,1.0,1.0
7aK0LpCyxzN5K9pAP20MVC,16398.0,302.0,0.772,0.643,-8629.0,0.422,0.07,0.0,0.429,1,0.0,0.0
0as7lPxkBPctZ7uVmchRNM,34724.0,614.0,0.753,0.646,-4564.0,0.097,0.231,0.001,0.438,55,0.0,0.0
0jqBo5RYn008f4ZY8kPewW,1297031.0,14637.0,0.742,0.72,-2876.0,0.116,0.04,0.001,0.97,9,2629.0,22.0
4PANCoXZX3RaT2D6mqSdEU,1263419.0,14233.0,0.694,0.319,-10061.0,0.03,0.883,0.0,0.493,14,50860.0,561.0
