author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Maroon 5,0.0066025430861052945,0.007362575619248246,0.009700606808724201,0.008282839149668642,0.008629735123729254,0.007094641162796543,0.0012347595022635103,9.63314766110209e-05
KAROL G,0.006370079020619208,0.00023016647378358462,0.0020646773383417145,0.00434807180194614,0.009565244188772724,0.007802586341877225,0.010092922417102945,0.016161110380820805
Kendrick Lamar,0.006230740428454728,0.024322529129197547,0.011438236206766733,0.0002024987556608071,0.0001572078794544099,1.2044435938990802e-05,0.0036834281496016448,0.0010793808160547377
Maluma,0.006183065271464144,0.006682256902655403,0.009975642961681882,0.009196466689499411,0.006081555592330917,0.007164565804775684,0.0005533104496727025,1.337937175153068e-06
Rauw Alejandro,0.006180699171079948,0.0,0.00033630658307201496,0.0010458577293039667,0.010117779654558085,0.013818313698671232,0.012423011686770935,0.003915974869526136
Calvin Harris,0.005820077220617169,0.017750884207965934,0.008327876861140374,0.0066376559168924406,0.0005312214441322159,0.0007092834497405694,0.002123969881018007,0.003609921740709872
Sam Smith,0.005805965374147956,0.005869038715844424,0.005451162089016677,0.013798785416004211,0.006033768741235966,0.0013818982834002114,0.0026490749931342233,0.005212770476543247
The Chainsmokers,0.005727004719692218,0.0194243719468204,0.009421758273448296,0.007008608580254942,0.0004809909472426376,0.00022676996331799903,0.0004155226523273783,3.7796725198074174e-05
Anuel AA,0.005210424970486767,0.0033204230990835715,0.005697060748542206,0.010670200067953517,0.007973073195472793,0.004504730563737506,0.0010541238835106049,0.0004582434824842396
Marshmello,0.005123373665315439,0.0027428744697091017,0.009656628255553246,0.008101448199742485,0.00511685853585161,0.00575918087129444,0.0007322591463229473,0.0017700908827275091
Lil Uzi Vert,0.004950729561626507,0.010434809645584903,0.006068904181080535,0.002666120133374096,0.00828273742089206,9.14038860703413e-05,0.0013066223838368552,0.007449857180779245
Bruno Mars,0.004922364608964018,0.012394045003117497,0.005323311124844765,0.0015760041017232821,3.6654686919422e-06,0.00678315866670898,0.0037511749412444976,0.0043620096752927905
Queen,0.004825742957462889,6.892612275288458e-05,0.006488538549108046,0.015290085936005218,0.003587543542713503,0.0034609017535360124,0.0020193132337689387,2.107251050866082e-05
Cardi B,0.004737384999840341,0.004424066525677664,0.010880402979703557,0.004088377701714022,0.0037872437073745023,0.007109562880654292,6.288845598719009e-05,0.0
Daddy Yankee,0.0046734367225969705,0.006502168490113435,0.006417328693664052,0.009753031863934999,0.0046590822236579395,0.0007035288859030516,0.002012700499126509,1.906560474593122e-05
Pop Smoke,0.004613959315631385,0.0,0.0,2.451229053056172e-05,0.019509660750011912,0.009885002402195739,0.0,0.0
Halsey,0.004583129380777474,0.008439253935943006,0.004051745465205272,0.01049071562951307,0.005814383652118241,0.00045648412208775137,0.000222268856246571,9.198318079177343e-05
Future,0.0043361296896492,0.011584816551954888,0.0017867818986453652,0.0011232076238670726,0.007309759120330957,0.0013643669377547435,0.0034373174609744015,0.003195885932380065
Selena Gomez,0.004332781834180252,0.005600350656490364,0.006270007348366918,0.003495724988441774,0.0053661104069036795,0.0036311297814737493,0.0015386079113947515,0.004681107691566797
The Neighbourhood,0.004310957206757895,0.0,0.0,0.0,0.00190047763772218,0.009944287792428771,0.012608325702822337,0.0072649988610811594
Lady Gaga,0.004296760604454033,0.0025853487001441257,0.002371710271470214,0.006294892387640086,0.010964774438596137,0.002823215784099444,0.0013072971526779194,0.002942458332455385
DaBaby,0.004249477443198705,0.0,0.0,0.007388004365911302,0.012585726149032798,0.004569190600522149,0.0026112204611505175,3.3782913672614966e-05
SZA,0.004053140552232149,0.001854539191035697,0.00016515784828597334,0.0004148024275338389,0.00023811970687654145,0.004490634112786732,0.008432316299243774,0.02533852319163638
James Arthur,0.00404827768621911,0.007734171342912001,0.005188380022081863,0.003962003226089792,0.004381049635469139,0.003975868303460864,0.00029514389108151233,0.0011613294680328631
Coldplay,0.004026919215887328,0.00493186356975131,0.0016553908651779586,0.0010890265965161226,0.0004547896340002359,0.004282800679306146,0.009034345059241318,0.010619374601336795
21 Savage,0.003923478251190484,0.007462594164640156,0.004510729065017321,0.0034931375799968816,0.0010295894281366535,3.6088698796760505e-05,0.0054935855349358105,0.007887920110878395
Farruko,0.003892623595884519,0.0008850334284816497,0.0004883934062669302,0.007360223769976666,0.00428561169137894,0.00610171124669274,0.005711918239609057,5.184506553718139e-05
Adele,0.0038276158707080247,0.002627860021362971,1.470490322744033e-05,8.443122293860148e-06,1.4118842368962549e-05,0.01004586253551426,0.009054723078241457,0.00639065691711863
OneRepublic,0.0037379653866070647,0.003163310060792565,0.0013478133060039984,0.002947058218732701,0.0010862005557122053,0.003682653201879432,0.007432038969250098,0.010465344584047298
Ava Max,0.0036844738604636293,0.0,0.0021862651029908274,0.009579947856910865,0.0072627868178342155,0.0022511719905303753,0.0023160765700690053,0.0
Clean Bandit,0.0036009363909367954,0.01321579296959051,0.008611354717802696,0.0009453573381286636,0.000492666143816972,8.832586355259922e-06,0.0,0.0
The Kid LAROI,0.0035982242042279975,0.0,0.0,0.0,0.0034314217280567057,0.011858349403733393,0.005480202619587586,0.0051251355915707215
Feid,0.0035876261934035965,0.0,0.0,0.0010726850694957482,0.0015966510105900821,0.0,0.007533974048839892,0.031391852698469544
J. Cole,0.0034961675848301545,0.0012615819274330372,0.003961882167704247,0.006166883759313819,0.0005750713103358208,0.004309633006036898,0.003664399668283632,0.005972049823442614
Charlie Puth,0.0034189726769292767,0.011629804260817549,0.00475635541152012,6.672790199986246e-05,7.6024535832875265e-06,0.0,0.005303997982890554,0.0006830169279112929
Arctic Monkeys,0.0034136048074017945,0.0,0.0005621902354268622,0.0,5.2809900783908e-05,0.0021214266500542466,0.01245056474778151,0.016214126141386242
Tones And I,0.003363302219537063,0.0,0.0,0.0043110310073666246,0.010707105565362569,0.005660751064259688,0.0007967670475286917,0.0
Manuel Turizo,0.003331765986061076,0.0034504334503839226,0.003988432687420459,0.003110201130152773,0.0011485135234752227,0.0008134009070798455,0.004499898447289413,0.010752555097646934
Bebe Rexha,0.0033290184844211672,0.006484971353698045,0.008800476112088942,0.0025259915391743853,0.00010765617306333943,5.353082639551467e-07,0.0016570298430015312,0.004587284847159188
Avicii,0.0033081897380559475,0.00599794845041419,0.006286209973219376,0.004536271721464119,6.353479066033147e-05,0.0026667719439585525,0.001690160993097787,4.4151926780051246e-05
BLACKPINK,0.0032766393786075126,0.0,0.0015525926990972415,0.0027750636468432594,0.009074207142152171,0.00047281102413838336,0.006023661444180751,0.0026253672219441076
Migos,0.003234981885877073,0.012710197158978033,0.007393979349686547,0.0,0.00010507676916900974,0.0006969713596696011,0.0,0.0
ROSALÍA,0.003223137257984746,0.0,0.0,0.0031762481351934532,0.0039596564939954875,0.00412020079412977,0.005818936577801851,0.008602099825499757
