author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Playboi Carti,34181.0,20610.0,3867.0,56.0,3274.0,3943.0,2431.0,0.0
Kate Bush,34028.0,0.0,0.0,0.0,0.0,0.0,33139.0,889.0
Starley,34027.0,34027.0,0.0,0.0,0.0,0.0,0.0,0.0
Louis Tomlinson,33958.0,31747.0,1965.0,71.0,0.0,0.0,175.0,0.0
Maria Becerra,33946.0,0.0,0.0,0.0,0.0,31445.0,2501.0,0.0
Andy Williams,33853.0,4084.0,5332.0,5001.0,6776.0,6184.0,6476.0,0.0
Tory Lanez,33837.0,0.0,3170.0,5190.0,15141.0,0.0,551.0,9785.0
Sofía Reyes,33798.0,0.0,29939.0,3811.0,0.0,0.0,48.0,0.0
Bobby Helms,33325.0,1183.0,5693.0,5236.0,7120.0,6602.0,7491.0,0.0
Lukas Graham,33163.0,5928.0,14241.0,12934.0,60.0,0.0,0.0,0.0
Bomba Estéreo,32671.0,0.0,1337.0,0.0,0.0,0.0,21834.0,9500.0
Meghan Trainor,32635.0,381.0,989.0,867.0,583.0,433.0,12362.0,17020.0
Lil Tjay,32588.0,0.0,0.0,6100.0,381.0,19898.0,6209.0,0.0
Lost Frequencies,31844.5,0.0,0.0,0.0,0.0,8964.5,22584.0,296.0
Hozier,31650.0,248.0,337.0,984.0,782.0,20535.0,6134.0,2630.0
Shouse,31552.5,0.0,0.0,0.0,0.0,31494.5,58.0,0.0
BoyWithUke,31514.0,0.0,0.0,0.0,0.0,11683.0,19831.0,0.0
George Ezra,31422.0,33.0,25029.0,6289.0,71.0,0.0,0.0,0.0
Willy William,31172.0,23478.0,7694.0,0.0,0.0,0.0,0.0,0.0
Trippie Redd,31023.0,19.0,12719.0,4231.0,487.0,13431.0,0.0,136.0
Mora,30976.666666667,0.0,0.0,0.0,901.0,14794.666666666999,12918.5,2362.5
JID,30843.5,0.0,0.0,0.0,0.0,1018.5,27802.0,2023.0
Saweetie,30651.5,0.0,0.0,329.0,4219.0,25483.5,620.0,0.0
NLE Choppa,30578.4,0.0,0.0,16678.0,9425.0,19.0,0.0,4456.4
Boza,30492.0,0.0,0.0,0.0,3946.0,26445.0,101.0,0.0
Gesaffelstein,30125.0,0.0,2606.0,3074.0,0.0,1910.5,16540.5,5994.0
Lil Dicky,29795.0,0.0,23607.0,6188.0,0.0,0.0,0.0,0.0
Diplo,29735.0,867.0,14660.0,11560.0,2648.0,0.0,0.0,0.0
TWICE,29715.0,0.0,0.0,2808.0,6716.0,13098.0,5406.0,1687.0
Grey,29384.0,9460.0,16206.0,3711.0,7.0,0.0,0.0,0.0
Marília Mendonça,29248.0,0.0,695.0,1565.0,112.0,6688.0,7811.0,12377.0
Sam Hunt,28816.0,28771.0,45.0,0.0,0.0,0.0,0.0,0.0
TINI,28698.5,0.0,0.0,113.0,0.0,16068.5,634.0,11883.0
Dynoro,28579.0,0.0,15776.0,12802.0,1.0,0.0,0.0,0.0
Gigi D'Agostino,28579.0,0.0,15776.0,12802.0,1.0,0.0,0.0,0.0
NEIKED,28333.0,4013.0,0.0,0.0,0.0,17962.0,6358.0,0.0
Fleetwood Mac,28156.0,12.0,0.0,0.0,12124.0,15828.0,192.0,0.0
Wolfine,27994.0,458.0,27536.0,0.0,0.0,0.0,0.0,0.0
Sabrina Carpenter,27991.0,3530.0,383.0,5742.0,0.0,3711.0,0.0,14625.0
Anderson .Paak,27820.00000001,0.0,575.0,0.0,0.0,21659.00000001,5586.0,0.0
